Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Bring Your Own Device ",,"BYOD","A scheme where employees use their personally owned IT equipment for work purposes and are personally responsible for maintaining and supporting these devices.  Inclusion into the scheme is by request only and employees must follow the BYOD Policy at all times.",,,"https://ico.org.uk/media/for-organisations/documents/1563/ico_bring_your_own_device_byod_guidance.pdf",,"Information Technology

NB  The BYOD Policy is currently being drafted","Pending",,,"1770",
"British Standard","[""Definition""]","BS","The specification of recommended procedure, quality of output, terminology, and other details, in a particular field, drawn up and published by the British Standards Institution.","[""Industry""]",,,,,"Approved",,,"96","B"
"British Standards Institution","[""Definition""]","BSI","The national standards body of the United Kingdom.","[""Industry""]",,,,,"Approved",,,"98","B"
"British Transport Police","[""Definition""]","BTP","The UK national special police force that polices railways and light-rail systems in England, Wales and Scotland.","[""Industry""]",,,,,"Approved",,,"99","B"
"Brownfield Land","[""Definition""]",,"Land which is or was occupied by a permanent structure, including the curtilage of the developed land (excluding agricultural or forestry buildings) and any associated fixed surface infrastructure. Previous use largely industrial/commercial purposes with some known or suspected soil contamination due to historic use or hazardous waste.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1629","B"
"Buckinghamshire Council","[""Definition""]","Buckinghamshire CC","A unitary local authority in England, the area of which comprises most of the ceremonial county of Buckinghamshire. 
It was created in April 2020 from the areas that were previously administered by Buckinghamshire County Council including the districts of South Bucks, Chiltern, Wycombe and Aylesbury Vale.","[""Gov""]",,,,,"Approved",,,"100","B"
"Building Information Modelling","[""Definition"",""Acronym""]","BIM","A process for creating and managing information on a construction project across the project lifecycle. Mandated on UK Government funded projects since 2016. Normalised by the ISO 19650 series of standards.","[""Industry"",""Digital Railway""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"101","B"
"Building Information Modelling","[""Definition"",""Acronym""]","BIM","Building Information Modelling (BIM) is the holistic process of creating and managing information for a built asset. Based on an intelligent model and enabled by a cloud platform, BIM integrates structured, multi-disciplinary data to produce a digital representation of an asset across its lifecycle, from planning and design to construction and operations.","[""Systems Engineering""]","[""BIM""]",,,,"Approved",,,"1721","B"
"Building Management System","[""Definition""]","BMS","A building management system (BMS) is a control system that can be used to monitor and manage the mechanical, electrical and electromechanical services in a facility. Such services can include power, heating, ventilation, air-conditioning, physical access control, pumping stations, elevators and lights.","[""Industry""]",,"Wikipedia",,,"Approved",,,"102","B"
"Building Research Establishment Environmental Assessment Method","[""Definition""]","BREEAM","A sustainability assessment method for infrastructure and buildings projects.","[""Industry""]",,,,,"Approved",,,"103","B"
"Building System Analysis","[""Definition""]",,"The use of Information Models to support the design, installation and/or operation of building management systems (BMS).","[""Enterprise Architecture""]","[""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1354","B"
"Built Environment Accessibility Panel","[""Definition""]","BEAP","Network Rail.  The Built Environment Accessibility Panel makes sure that major building works, station designs and other amenities across Britain are accessible and as inclusive as possible.","[""Industry""]",,,,,"Approved",,,"104","B"
"Built Heritage","[""Definition""]","BH","Architectural, designed or other structures with a significant historical value. These may include structures that have no aesthetic appeal or structures not usually thought of as ‘buildings’, such as milestones or bridges.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1117","B"
"Buried Archaeology","[""Definition""]","BA","The material remains of human activity from the earliest periods of human evolution to the present. These may be buried traces of human activities, sites visible above ground, or moveable artefacts. Buried archaeology can encompass the remains of buildings, structures, earthworks and landscapes; human, animal or plant remains, or other organic material produced by or affected by human activities, and their settings.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1118","B"
"Business as Usual","[""Definition""]","BAU","The state of continuing in the usual way, especially with respect to change or difficult circumstances.","[""Digital Railway""]",,,,,"Approved",,,"105","B"
"Business Object","[""Definition""]",,"A business object represents a concept used within a particular business domain.","[""EWR""]",,"EWR EA Ontology",,,"Approved",,,"106","B"
"Business Systems","[""Definition""]",,"Railway systems that support the business of operating a railway, but excluding technical control systems (e.g. signalling or electrification control). Examples include: passenger information systems, delay attribution systems (TRUST), and maintenance control systems (Ellipse).","[""Digital Railway""]",,,,,"Approved",,,"107","B"
"Business Use Insurance Class","[""Definition""]",,"Business Use Class 1 - cover is required if you use your vehicle for anything relating to the work you do. For example, if you work in one location, but you need to travel to another office or site – or if you need to travel to a meeting, or run a work errand, like picking someone up from the station.
Business Use Class 2 - cover is very similar to Class 1 – but it also allows you to add another named driver to your policy that will be covered for business use. 
Business Use Class 3 - may be appropriate if you do a lot of travelling for work. This is  – designed for people who are frequently travelling between business locations, with higher mileage, e.g. an engineer or project manager visiting lots of locations.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1375","B"
"Byway","[""Definition""]",,"A highway mainly used for walking, cycling or horse riding but over which there is a right to use any type of wheeled vehicle, whether horse drawn or motorized.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1630","B"
"Byway Open to Traffic (BOAT)","[""Definition""]",,"A highway over which the public have a right of way for vehicular and all other kinds of traffic, but which is used by the public for the purposes for which footpaths and bridleways are used. 

","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1631","B"
"Cab Secure Radio","[""Definition""]","CSR","An in-cab analogue radiotelephone system formerly used on parts of the British railway network. Its main function was to provide a secure speech link between the train driver and the signaller which could not be overheard by other train drivers.","[""Digital Railway""]",,,,,"Approved",,,"108","C"
"CAD Data","[""Definition""]",,"Models and drawings prepared using CAD software.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1266","C"
"CAD File","[""Definition""]",,"A file containing CAD data. This may be a 2D or 3D design model, a drawing or sketch, a library, or a combined model.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1267","C"
"CAD Model and Drawing Templates","[""Definition""]",,"CAD seed files for 2D, 3D and drawing models. Used to maintain consistent file settings across the project. ","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1279","C"
"Calculation of Railway Noise","[""Abbreviation""]","CRN",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1187","C"
"Calculation of Road Traffic Noise","[""Abbreviation""]","CRTN",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1188","C"
"Cambridge City Council","[""Definition""]","Cambridge CC","A district council in the county of Cambridgeshire, which governs the City of Cambridge.","[""Gov""]",,,,,"Approved",,,"109","C"
"Cambridge via Hitchin Line","[""Definition""]",,"Refers to the route from London to Cambridge using the ECML to Hitching and the Shepreth Branch from Hitchin to Cambridge (As opposed to the route from London Liverpool St via Bishops Stortford).
Use in full","[""EWR""]",,,,,"Approved",,,"110","C"
"Cambridge-Milton Keynes-Oxford Corridor","[""Definition""]",,"A region defined by the government and the National Infrastructure Commission covering local authorities across the counties of Northamptonshire, Cambridgeshire, Hertfordshire, Buckinghamshire and Oxfordshire and the unitary authorities of Bedford, Central Bedfordshire, Luton, Swindon and Milton Keynes.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"1743","C"
